location,Family,Subfamily,genus,species,subspecies,original entry,Source,Calibration,FO_LO,Age,pal_lat
748,Peridiniaceae,Deflandreoideae,Abratopdinium,kerguelense,NA,25% in A.p. expansa,"Mohr and Mao, 1997",0.25 in nan_e_Broinsonia parca expansa,FO,89.4975,-57.125125000000004
748,Peridiniaceae,Deflandreoideae,Abratopdinium,cardioforme,NA,60% in A.p. expansa,"Mohr and Mao, 1997",0.6 in nan_e_Broinsonia parca expansa,FO,88.864,-57.156800000000004
748,Peridiniaceae,Deflandreoideae,Abratopdinium,cardioforme,NA,25% CC24,"Mao and Mohr, 1992",0.25 in nan_n_CC24,LO,71.77499999999999,-61.630250000000004
748,Peridiniaceae,Deflandreoideae,Abratopdinium,kerguelense,NA,25% in CC24,"Mao and Mohr, 1992",0.25 in nan_n_CC24,LO,71.77499999999999,-61.630250000000004
748,Gonyaulacaceae,Gonyaulacoideae,Achomosphaera,ramulifera,NA,67% in C. costatum,"Mohr and Mao, 1997",0.05 in stage_Campanian,FO,83.0605,-57.446975
748,Gonyaulacaceae,Gonyaulacoideae,Achomosphaera,ramulifera,NA,25% in CC24,"Mao and Mohr, 1992",0.25 in nan_n_CC24,LO,71.77499999999999,-61.630250000000004
748,Peridiniaceae,Deflandreoideae,Alterbidinium,acutulum,NA,0% in N. watkinsii,"Mohr and Mao, 1997",0.8 in nan_n_CC23,FO,73.042,-61.00942
748,Order Gonyaulacales Family uncertain,uncertain,Exochosphaeridium,arnace,NA,20% CC24,"Mao and Mohr, 1992",0.2 in nan_n_CC24,FO,71.884,-61.57684
748,Order Gonyaulacales Family uncertain,uncertain,Exochosphaeridium,arnace,NA,50% in CC24,"Mao and Mohr, 1992",0.5 in nan_n_CC24,LO,71.22999999999999,-61.89730000000001
748,Peridiniaceae,Deflandreoideae,Amphidiadema,denticulata,NA,50% in CC23,"Mohr and Mao, 1997",0.5 in nan_n_CC23,LO,74.125,-60.47875
748,Peridiniaceae,Deflandreoideae,Amphidiadema,denticulata,NA,20% in C. costata,"Mohr and Mao, 1997",0.95 in stage_Santonian,FO,83.771,-57.41145
748,Gonyaulacaceae,other,Amphorosphaeridium,fenestratum,NA,30% CC24,"Mao and Mohr, 1992",0.3 in nan_n_CC24,FO,71.666,-61.68366
748,Gonyaulacaceae,Cribroperidinioideae,Apteodinium,maculatum,NA,33% CC22,"Mao and Mohr, 1992",0.33 in nan_n_CC22,FO,76.52629999999999,-59.302113000000006
748,Gonyaulacaceae,Cribroperidinioideae,Apteodinium,maculatum,maculatum,40% in CC23,"Mao and Mohr, 1992",0.4 in nan_n_CC23,LO,74.486,-60.30186
748,Areoligeraceae,all,Areoligera,coronata,NA,10% CC22,"Mao and Mohr, 1992",0.1 in nan_n_CC22,FO,76.731,-59.20181
748,Areoligeraceae,all,Areoligera,senonensis,NA,80% in CC23,"Mao and Mohr, 1992",0.8 in nan_n_CC23,LO,73.042,-61.00942
748,Areoligeraceae,all,Areoligera,senonensis,NA,20% in C. costata,"Mohr and Mao, 1997",0.95 in stage_Santonian,FO,83.771,-57.41145
748,Order Gonyaulacales Family uncertain,uncertain,Batiacasphaera,reticulata,NA,50% in A.p. expansa,"Mohr and Mao, 1997",0.5 in nan_e_Broinsonia parca expansa,FO,89.045,-57.14775
748,Order Gonyaulacales Family uncertain,uncertain,Batiacasphaera,reticulata,NA,50% in CC23,"Mohr and Mao, 1997",0.5 in nan_n_CC23,LO,74.125,-60.47875
748,Peridiniaceae,Deflandreoideae,Bulbodinium,seitzii,NA,33% in A.p. expansa,"Mohr and Mao, 1997",0.33 in nan_e_Broinsonia parca expansa,FO,89.3527,-57.132365
748,Peridiniaceae,Deflandreoideae,Bulbodinium,seitzii,NA,40% in CC23,"Mao and Mohr, 1992",0.4 in nan_n_CC23,LO,74.486,-60.30186
748,Areoligeraceae,all,Canningia,reticulata,NA,100% in A.p. expansa,"Mohr and Mao, 1997",1 in nan_e_Broinsonia parca expansa,FO,88.14,-57.193
748,Areoligeraceae,all,Canningia,senonica,NA,60% in C. costatum,"Mohr and Mao, 1997",0.1 in stage_Campanian,FO,82.481,-57.475950000000005
748,Areoligeraceae,all,Canningia,senonica,NA,50% in CC23,"Mohr and Mao, 1997",0.5 in nan_n_CC23,LO,74.125,-60.47875
748,Areoligeraceae,all,Canningia,reticulata,NA,75% in CC23,"Mao and Mohr, 1992",0.75 in nan_n_CC23,LO,73.2225,-60.920975
