Reference,Geography,Age base,Age top,Tier,Calibrated to:
"Açikalin et al., 2015",NW Turkey,67,65,3,planktonic foraminifera stratigraphy on the same section
"Århus et al., 1989",Norway,166,155,3,"Russian Platform zones, converted to Boreal ammonite zones (see Supplement 1)"
"Aubry et al., 2020",Labrador Sea (IODP U1307),3.2,2.25,1,Magnetostratigraphy on the same samples. Magnetic reversals were calibrated usingplanktonic foraminifera and nannofossils
"Awad and Oboh-Ikenobe, 2016",Ivory Coast Margin (ODP 959),57,54,3,CP nannoplankton stratigraphy on the same section
"Awad and Oboh-Ikenobe, 2019",Ivory Coast Margin (ODP 959),28,16,3,CP/CN nannofossil stratigraphy on the same samples
"Bailey et al., 1997",UK,157,152,3,Boreal ammonite stratigraphy from the same core samples.
"Baruffini et al., 2002",S Italy,35,32,3,CP nannoplankton stratigraphy from the same study
"Besems, 1992",Borneo,65,0,5,"chronostratigraphy, no independent age controll shown (Industry data)"
"Biffi and Manum, 1988",Central Italy,36,22,3,NP/NN nannoplankton and N/P planktonic foraminifer stratigraphies from the same sections
"Bijl and Brinkhuis, 2015",Antarctica (IODP U1356),54,47,2,Magnetostratigraphy on the same section. Magnetochrons are dated using dinocyst biostratigraphy
"Bijl et al 2013, 2014","SW Pacific (ODP 1171, 1172, IODP U1356)",57,35,2,"Complicated paleomagnetic signal and isotope stratigraphic constraints at Site 1171 and 1172. U1356 was calibrated to magnetostratigraphy, using dinocyst biostratigrapy"
"Bijl et al., 2018",Antarctica (IODP U1356),34,10,1,Magnetostratigraphy with nannoplankton stratigraphy
"Bowman et al., 2012",Seymour Island,68,65,4,Inferred position of the K/Pg Boundary
"Bowman et al., 2016",Seymour Island,66,57,4,Inferred position of the K/Pg Boundary
"Brinkhuis and Biffi, 1993",Central Italy,37,32,1,"Magnetostratigraphy, based on nannoplankton stratigraphy and foraminifer stratigraphy"
"Brinkhuis et al., 1992",NW Italy,26,22,1,"Magnetostratigraphy, interpreted based on nannoplankton stratigraphy and foraminifer stratigraphy"
