location,family,subfamily,genus,species,subspecies,original entry,source,calibration,FO_LO,...11,...12,age,pal_lat
Singa,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,eirikianum,NA,60% in CN15b,"Versteegh, 1997",0.8 in nan_c_CN15,LO,NA,NA,0.058,38.4413
Singa,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,israelianum,NA,60% in CN15b,"Versteegh, 1997",0.8 in nan_c_CN15,FO,NA,NA,0.058,38.4413
Singa,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,janduchenei,NA,60% in CN15b,"Versteegh, 1997",0.8 in nan_c_CN15,FO,NA,NA,0.058,38.4413
Gulf Coast1,Gonyaulacaceae,Cribroperidinioideae,Hystrichokolpoma,rigaudiae,NA,80% in N22,"Wrenn and Kokinos, 1986",0.8 in plfor_A_N22,LO,NA,NA,0.386,29.24982
Arctic Basin,Gonyaulacaceae,other,Chytroeisphaeridia,chytroeides,NA,0% in thouarsense,"Bujak et al., 2022",0 in amm_b_Grammoceras thouarsense,FO,NA,NA,178.34,72.353
Pannonian Basin,Areoligeraceae,all,Glaphyrocysta,reticulosa,NA,50% NN4,"Jiménez-Moreno et al., 2006",0.5 in nan_n_NN4,LO,NA,NA,16.4,45.155
Scotian Margin,Peridiniaceae,Deflandreoideae,Sumatradinium,spp.,NA,50% in messinian,"Williams et al., 1993",0.5 in stage_Messinian,LO,NA,NA,6.2915,41.672145
823,Peridiniaceae,Deflandreoideae,Sumatradinium,hispidum,NA,40% CN9,"McMinn, 1993",0.4 in nan_c_CN9,LO,NA,NA,7.186,-18.67595556
Gulf Coast1,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,placitum,NA,80% in N22,"Wrenn and Kokinos, 1986",0.8 in plfor_A_N22,LO,NA,NA,0.386,29.24982
Scotian Margin,Gonyaulacaceae,Cribroperidinioideae,Hystrichokolpoma,rigaudiae,NA,100% NN19,"Fensome et al., 2008",1 in nan_n_NN19,LO,NA,NA,0.43,43.8409
E67-135,Gonyaulacaceae,Cribroperidinioideae,Hystrichokolpoma,rigaudiae,NA,40% in Bruhnes,"De Vernal et al., 1992",0.4 in mag_Bruhnes,LO,NA,NA,0.4638,20
Calvados,Gonyaulacaceae,Gonyaulacoideae,Gonyaulacysta,pectinigera,NA,75% humphriesianum,"Feist-Burkhardt and Monteil, 1997",0.75 in amm_b_Stephanoceras humphriesianum,FO,NA,NA,169.8275,30.925875
