location,Family,Subfamily,genus,species,subspecies,original entry,Source,Calibration,FO_LO,...11,...12,Age,pal_lat
Mudurnu Basin,Gonyaulacaceae,Cribroperidinioideae,Achilleodinium,biannii,NA,25% in P1b,"Açikalin et al., 2015",0.25 in plfor_B_P1b,LO,NA,NA,64.8791,30.4
Mudurnu Basin,Gonyaulacaceae,Cribroperidinioideae,Apteodinium,fallax,NA,50% in P1a,"Açikalin et al., 2015",0.5 in plfor_B_P1a,LO,NA,NA,65.4656,30.4
Mudurnu Basin,Gonyaulacaceae,Cribroperidinioideae,Carpatella,cornuta,NA,15% in P1b,"Açikalin et al., 2015",0.15 in plfor_B_P1b,LO,NA,NA,65.00634,30.4
Mudurnu Basin,Gonyaulacaceae,Cribroperidinioideae,Carpatella,cornuta,NA,75% Pa,"Açikalin et al., 2015",0.75 in plfor_B_Pa,FO,NA,NA,65.8005,30.4
Mudurnu Basin,Areoligeraceae,all,Cassidium,fragile,NA,33% P1a,"Açikalin et al., 2015",0.33 in plfor_B_P1a,FO,NA,NA,65.55685600000001,30.4
Mudurnu Basin,Areoligeraceae,all,Cassidium,fragile,NA,25% in P1b,"Açikalin et al., 2015",0.25 in plfor_B_P1b,LO,NA,NA,64.8791,30.4
Mudurnu Basin,Peridiniaceae,Deflandreoideae,Cerodinium,mediterraneum,NA,0% P0,"Açikalin et al., 2015",0 in plfor_B_P0,FO,NA,NA,66.04,30.4
Mudurnu Basin,Peridiniaceae,Deflandreoideae,Cerodinium,mediterraneum,NA,40% in P1b,"Açikalin et al., 2015",0.4 in plfor_B_P1b,LO,NA,NA,64.68824,30.4
Mudurnu Basin,Gonyaulacaceae,Cribroperidinioideae,Danea,californica,NA,20% P0,"Açikalin et al., 2015",0.2 in plfor_B_P0,FO,NA,NA,66.03200000000001,30.4
Mudurnu Basin,Gonyaulacaceae,Cribroperidinioideae,Danea,californica,NA,50% in P1a,"Açikalin et al., 2015",0.5 in plfor_B_P1a,LO,NA,NA,65.4656,30.4
Mudurnu Basin,Gonyaulacaceae,Cribroperidinioideae,Disphaerogena,carposphaeropsis,NA,66% in P1b,"Açikalin et al., 2015",0.66 in plfor_B_P1b,LO,NA,NA,64.357416,30.4
Mudurnu Basin,Gonyaulacaceae,Gonyaulacoideae,Hafniasphaera,septata,NA,10% P0,"Açikalin et al., 2015",0.1 in plfor_B_P0,FO,NA,NA,66.036,30.4
Mudurnu Basin,Gonyaulacaceae,Gonyaulacoideae,Hafniasphaera,septata,NA,33% in P1b,"Açikalin et al., 2015",0.33 in plfor_B_P1b,LO,NA,NA,64.77730799999999,30.4
