source,geography,core or outcrop,location,lat,long,age,miinage,maxage,paleolatitude,lower,upper,interpolated,stable,,,pal_lat source,tier,version
"Açikalin et al., 2015",NW Turkey,outcrop,Mudurnu Basin,40.40,30.80,64.00,,,30.40,25.40,35.40,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Açikalin et al., 2015",NW Turkey,outcrop,Mudurnu Basin,40.40,30.80,67.00,,,30.40,25.40,35.40,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Baruffini et al., 2002",S Italy,outcrop,Tusa,37.98,14.23,38.00,,,30.10,25.10,35.10,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Baruffini et al., 2002",S Italy,outcrop,Tusa,37.98,14.23,32.00,,,30.90,25.90,35.90,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Besems, 1993",Borneo,core,Borneo,4.56,114.20,0.00,,,4.60,4.60,4.60,FALSE,FALSE,,,"Advokaat et al., Tectonics 2018",5,1
"Besems, 1993",Borneo,core,Borneo,4.56,114.20,65.00,,,6.00,1.00,11.00,TRUE,FALSE,,,"Advokaat et al., Tectonics 2018",5,1
"Besems, 1993",Borneo,core,Borneo,4.56,114.20,60.00,,,6.60,1.60,11.60,FALSE,FALSE,,,"Advokaat et al., Tectonics 2018",5,1
"Besems, 1993",Borneo,core,Borneo,4.56,114.20,10.00,,,7.20,2.20,12.20,FALSE,FALSE,,,"Advokaat et al., Tectonics 2018",5,1
"Besems, 1993",Borneo,core,Borneo,4.56,114.20,50.00,,,8.10,3.10,13.10,FALSE,FALSE,,,"Advokaat et al., Tectonics 2018",5,1
"Besems, 1993",Borneo,core,Borneo,4.56,114.20,20.00,,,8.70,3.70,13.70,FALSE,FALSE,,,"Advokaat et al., Tectonics 2018",5,1
"Besems, 1993",Borneo,core,Borneo,4.56,114.20,40.00,,,10.10,5.10,15.10,FALSE,FALSE,,,"Advokaat et al., Tectonics 2018",5,1
"Besems, 1993",Borneo,core,Borneo,4.56,114.20,30.00,,,10.90,5.90,15.90,FALSE,FALSE,,,"Advokaat et al., Tectonics 2018",5,1
"Biffi and Manum, 1988",Italy,outcrop,Marche,43.40,13.30,40.00,,,34.03,31.23,37.04,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Biffi and Manum, 1988",Italy,outcrop,Marche,43.40,13.30,30.00,,,36.54,34.02,39.23,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Biffi and Manum, 1988",Italy,outcrop,Marche,43.40,13.30,20.00,,,37.92,35.40,40.60,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
