source,location,lat,long
"Marret et al., 2020",A2035,48.35,-51.31
"Marret et al., 2020",G2036,48.55,-62.25
"Marret et al., 2020",L2034,54.57,-50.68
"Marret et al., 2020",D2045,63.05,-74.32
"Marret et al., 2020",L2025,61.75,-53
"Marret et al., 2020",X1745,18.7248,-95.8222
"Marret et al., 2020",Z2148,71.4595,-101.2724
"Marret et al., 2020",B-1,31.75,122.5
"Marret et al., 2020",O764,58.455,-169.218
"Marret et al., 2020",B-5,31.48,123.98
"Marret et al., 2020",O763,58.895,-170.438
"Marret et al., 2020",C-1,31.41,122.56
"Marret et al., 2020",O762,60.642,-175.133
"Marret et al., 2020",C-3,31.16,123.23
"Marret et al., 2020",O761,60.537,-172.113
"Marret et al., 2020",O760,61.148,-172.305
"Marret et al., 2020",PS1451-2,-64.56,5.46
"Marret et al., 2020",O759,63.012,-173.032
"Marret et al., 2020",PS1460-1,-63.88,3.99
"Marret et al., 2020",O758,62.663,-175.645
"Marret et al., 2020",PS1652-1,-53.67,5.08
"Marret et al., 2020",O757,61.12,-173.427
"Marret et al., 2020",PS1653-2,-52.21,9.49
"Marret et al., 2020",O756,60.817,-177.05
"Marret et al., 2020",PS1654-1,-50.16,5.77
"Marret et al., 2020",O755,59.913,-176.325
"Marret et al., 2020",PS58/251-1,-68.63,-97.12
"Marret et al., 2020",X1744,18.7979,-95.8579
"Marret et al., 2020",Z2149,71.8692,-102.7247
"Marret et al., 2020",O754,63.05,-174.45
"Marret et al., 2020",PS58/254-2,-69.31,-108.45
"Marret et al., 2020",O750,63,-175
"Marret et al., 2020",PS58/256-1,-68.71,-103.9
"Marret et al., 2020",O749,63,-177
"Marret et al., 2020",PS58/258-1,-68.77,-102.09
"Marret et al., 2020",O748,62.492,-177.033
"Marret et al., 2020",PS58/265-1,-66.98,-117.44
"Marret et al., 2020",O747,62,-178
"Marret et al., 2020",PS58/266-4,-65.62,-116.63
"Marret et al., 2020",PS58/267-4,-64.83,-116.16
"Marret et al., 2020",Z746,69.75,-137.88
"Marret et al., 2020",PS58/268-1,-63.46,-115.39
"Marret et al., 2020",Z743,78.3,-104
"Marret et al., 2020",PS58/269-4,-62.85,-115.08
"Marret et al., 2020",Z740,76.12,-86.47
"Marret et al., 2020",PS58/270-1,-62.03,-116.12
"Marret et al., 2020",Z739,67.87,-167.9
"Marret et al., 2020",PS58/272-4,-60.61,-115.84
"Marret et al., 2020",Z738,71.75,-156.5
"Marret et al., 2020",L2150,60.23,-46.97
"Marret et al., 2020",X1743,18.8153,-95.8588
"Marret et al., 2020",PS58/274-4,-59.21,-114.89
"Marret et al., 2020",Z737,76.25,-167
