Source,location,lat,long
"Marret et al., 1599",E003,48.17,-69.53
"Marret et al., 1598",E004,48.2,-69.58
"Marret et al., 1597",E005,48.23,-69.27
"Marret et al., 1596",E006,48.28,-69.35
"Marret et al., 1595",E007,48.28,-69.44
"Marret et al., 1594",E008,48.32,-69.33
"Marret et al., 1593",E010,48.48,-69.04
"Marret et al., 1592",E012,48.61,-68.46
"Marret et al., 1591",E013,48.75,-68.57
"Marret et al., 1590",E014,48.86,-68.67
"Marret et al., 1589",E015,48.73,-68.08
"Marret et al., 1588",E016,48.92,-68.24
"Marret et al., 1587",E017,49.02,-68.36
"Marret et al., 1586",E018,48.89,-67.52
"Marret et al., 1585",E019,49.06,-67.7
"Marret et al., 1584",E020,49.25,-67.87
"Marret et al., 1583",E021,49.16,-67.24
"Marret et al., 1582",E022,49.87,-66.69
"Marret et al., 1581",G023,49.28,-66.28
"Marret et al., 1580",G024,50,-66.3
"Marret et al., 1579",G025,49.6,-66.2
"Marret et al., 1578",G026,49.23,-66.1
"Marret et al., 1577",G027,49.35,-64.6
"Marret et al., 1576",G028,49.21,-64
"Marret et al., 1575",G029,48.97,-63.52
"Marret et al., 1574",G030,48.81,-63.1
"Marret et al., 1573",G031,48.57,-62.1
"Marret et al., 1572",G032,48.41,-61.58
"Marret et al., 1571",G033,48.17,-60.72
"Marret et al., 1570",G034,47.89,-60.12
"Marret et al., 1569",G035,47.4,-59.53
"Marret et al., 1568",G037,50.25,-64.08
"Marret et al., 1567",G038,50.21,-64.08
"Marret et al., 1566",G039,50.26,-64.07
"Marret et al., 1565",G040,50.18,-61.97
"Marret et al., 1564",G041,50.11,-61.91
"Marret et al., 1563",G042,49.95,-61.9
"Marret et al., 1562",G043,50.14,-61.87
"Marret et al., 1561",G044,50.07,-61.84
"Marret et al., 1560",G045,50.12,-61.81
"Marret et al., 1559",G046,50.1,-61.8
"Marret et al., 1558",G047,50.02,-61.6
"Marret et al., 1557",G048,50.08,-61.38
"Marret et al., 1556",G049,49.98,-61.34
"Marret et al., 1555",G050,50.12,-61.32
"Marret et al., 1554",G051,48.51,-60.64
"Marret et al., 1553",G052,48.51,-60.64
"Marret et al., 1552",G053,48.33,-60.24
"Marret et al., 1551",G054,49.22,-60.17
"Marret et al., 1550",G055,49.71,-61.95
"Marret et al., 1549",G056,49.52,-60.8
"Marret et al., 1548",G057,49.33,-59.78
"Marret et al., 1547",G058,49.8,-59.47
"Marret et al., 1546",G059,49.8,-59.47
